id,book_id,isbn,authors,original_publication_year,title,quantity
1,2767052,439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",5
2,3,439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4
3,41865,316015849,Stephenie Meyer,2005,"Twilight (Twilight, #1)",3
4,2657,61120081,Harper Lee,1960,To Kill a Mockingbird,2
5,4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,1
6,11870085,525478817,John Green,2012,The Fault in Our Stars,0
7,5907,618260307,J.R.R. Tolkien,1937,The Hobbit,5
8,5107,316769177,J.D. Salinger,1951,The Catcher in the Rye,4
9,960,1416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",3
10,1885,679783261,Jane Austen,1813,Pride and Prejudice,2
11,77203,1594480001,Khaled Hosseini,2003,The Kite Runner,1
12,13335037,62024035,Veronica Roth,2011,"Divergent (Divergent, #1)",0
13,5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,5
14,7613,452284244,George Orwell,1945,Animal Farm,4
15,48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,3
16,2429135,307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",2
17,6148028,439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",1
18,5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",0
19,34,618346252,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",5
20,7260188,439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",4
21,2,439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3
22,12232938,316166685,Alice Sebold,2002,The Lovely Bones,2
23,15881,439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1
24,6,439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",0
